No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
74,"turbina, coletor de escape e conjunto turbina e coletor de escape",MIGUEL DELL'AGLI [BR],MIGUEL DELLAGLI [BR],BR102019013607A2,2019-06-28,"F01D17/16 
F02B37/02 
F02C7/00",Y02T10/12 (EP),2021-01-05,2021-01-05,74501984
75,disposição introduzida em carimbo manual multifacetado,JUAN CARLOS MUNIZ RIVAS [BR],JUAN CARLOS MUNIZ RIVAS [BR],BR202019014543U2,2019-07-15,B41K1/04,B41K1/04 (BR),2021-01-26,2021-01-26,74504668
76,carregador usb simétrico com iluminação,"EMERSON MATEUS GUERREIRO [BR] 
JONAS VALDEMAR REKOVVSKY [BR]",ORBE DO BRASIL ACESSORIOS AUTOMOTIVOS LTDA [BR],BR202019013922U2,2019-07-04,"F21V33/00 
F21V8/00 
H01R13/717","F21V33/0004 (BR) 
G02B6/0001 (BR) 
H01R13/7175 (BR)",2021-01-12,2021-01-12,74502110
77,rede polimérica interpenetrante de elastômeros de poliuretano e poli(3-metiltiofeno) e respectivo método de confecção,"LUIZ FERNANDO SOUZA [BR] 
SÔNIA FARIA ZAWADZKI [BR]",UNIV FEDERAL PARANA [BR],BR102019014352A2,2019-07-11,"C08L65/02 
C08L75/04","C08L75/04 (BR) 
C08K2201/001 (BR) 
C08L2203/20 (BR) 
C08L2205/04 (BR) 
C08L65/02 (BR)",2021-01-12,2021-01-12,74502098
78,sistema de montagem de edificações com placas autoportantes e respectiva placa autoportante,"DANIELA KROEHNE [BR] 
JULIO IVO KROEHNE [BR]","DANIELA KROEHNE [BR] 
JULIO IVO KROEHNE [BR]",BR102019013889A2,2019-07-04,"E04B5/02 
E04C2/52","E04C2/50 (BR) 
E04C2/52 (BR)",2021-01-12,2021-01-12,74502070
79,"dispositivo de proteção ótica, medida de deformação e de temperatura em estruturas de concreto e em solo por meio de sensores óticos","ALEONES JOSÉ DA CRUZ JUNIOR [BR] 
JOSÉ CAMAPUM DE CARVALHO [BR] 
JOSÉ LUÍS FABRIS [BR] 
MARCIA MULLER [BR] 
MARCO ROGÉRIO CALHEIRA LIMA [BR] 
MAURÍCIO MARTINES SALES [BR]","FUNDACAO UNIV DE BRASILIA [BR] 
INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE BRASILIA [BR] 
INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA GOIANO [BR] 
UNIV FEDERAL DE GOIAS [BR] 
UNIV PARANA TECNOLOGICA FEDERAL [BR]",BR102019014328A2,2019-07-10,"G01B11/16 
G01B21/32 
G01K11/32 
G01L1/24 
G02B6/02","G01B11/165 (BR) 
G01B21/32 (BR) 
G01K11/3206 (BR) 
G01L1/246 (BR) 
G02B6/02076 (BR)",2021-01-19,2021-01-19,74504386
80,"ferro de passar com acessibilidade, economia e segurança","GEORGE DE BRITO SENA [BR] 
LÍVIA DAS MERCÊS SENA [BR]",GEORGE DE BRITO SENA [BR],BR202019014343U2,2019-07-10,D06F75/26,,2021-01-12,2021-01-12,74502127
81,disposição construtiva introduzida em bandeja para produção de mudas de plantas em geral,JUZA DEMUNER [BR],JUZA DEMUNER [BR],BR202019014087U2,2019-07-08,A01C7/16,A01C7/16 (BR),2021-01-12,2021-01-12,74502111
82,configuração aplicada em espeto de churrasco,RICARDO GROISMAN LOPES [BR],RICARDO GROISMAN LOPES [BR],BR102019014618A2,2019-07-16,"A23B4/044 
A47J37/04",,2021-01-26,2021-01-26,74504631
83,formulação de galactomanana de caesalpinia pulcherrima como fonte de fibra solúvel e substituta de gordura em produtos cárneos,"ANA CRISTINA DE O MONTEIRO MOREIRA [BR] 
FREDERICO JOSÉ BESERRA [BR] 
MARIA ROSIMAR TEIXEIRA MATOS [BR] 
RENATO DE AZEVEDO MOREIRA [BR]",FUND EDSON QUEIROZ [BR],BR102013033233A2,2013-12-23,,,2021-01-19,2021-01-19,74504318
84,formulação para creme antisséptico com propriedades hidratantes,YGUREY TIARAJU ELMANO DE OLIVEIRA [BR],"RUBIA FERNANDA DE OLIVEIRA MUNHOZ [BR] 
YGUREY TIARAJU ELMANO DE OLIVEIRA [BR]",BR102020021151A2,2020-10-15,"A61K8/43 
A61K8/92 
A61K8/9794 
A61Q19/00","A61K8/43 (BR) 
A61K8/922 (BR) 
A61K8/9794 (BR) 
A61Q19/00 (BR) 
A61Q19/007 (BR)",2021-01-19,2021-01-19,74504324
85,"gabinete coletor multi compartimentos, com painel eletrônico informativo/publicitário alimentado a energia solar",DIEGO GOMES MARTINS FERREIRA [BR],DIEGO GOMES MARTINS FERREIRA [BR],BR202019013650U2,2019-07-01,"B65D43/26 
B65F1/14 
B65F1/16","B65F1/1426 (BR) 
B65D43/265 (BR) 
B65F1/1415 (BR) 
B65F1/1607 (BR) 
B65F2210/112 (BR) 
B65F2210/128 (BR) 
B65F2210/172 (BR)",2021-01-12,2021-01-12,74502145
86,disposição construtiva aplicada em armadilha de aspersão de dióxido de carbono por reação química para captura de mosquitos da espécie aedes,ADELAMAR FERREIRA NOVAIS [BR],NCD IND E COMERCIO DE EQUIPAMENTOS DIDATICOS LTDA EPP [BR],BR202019014403U2,2019-07-11,A01M1/02,A01M1/02 (BR),2021-01-19,2021-01-19,74504329
87,"estrutura de fixação microbiológica, unidade de filtração biológica de efluente e sistema de tratamento de efluentes","DANIELA QUEIROZ DAMASCENO [BR] 
FERNANDO HUMEL LAFRATTA [BR] 
LUIZ VERIANO OLIVEIRA DALLA VALENTINA [BR]",TIGRE S A PARTICIPACOES [BR],BR102019025382A2,2019-11-29,"C02F3/00 
C02F3/06 
C02F3/10 
C02F3/28 
C02F3/30","C02F3/06 (BR) 
C02F3/109 (BR) 
C02F3/2806 (BR) 
C02F3/301 (BR) 
C02F2003/001 (BR) 
C02F2203/006 (BR) 
Y02W10/10 (EP)",2021-01-05,2021-01-05,74501995
88,"disposição construtiva aplicada em mobiliário urbano multifuncional com dispensador de sacos plásticos para recolhimento de fezes de animais embutido em placa, com coletor de pilhas e baterias e placa para aplicação informativa e comercial",LUCAS FREDERICO BARBIERI FRANQUELER DE OLIVEIRA [BR],LUCAS FREDERICO BARBIERI FRANQUELER DE OLIVEIRA [BR],BR202019014654U2,2019-07-16,E01H1/12,"E01H1/1206 (BR) 
E01H2001/128 (BR)",2021-01-19,2021-01-19,74504428
89,conjunto porta em chapa de alumínio composto com associação a poliuretano,LISSIO CRUZ FIOD [BR],LISSIO CRUZ FIOD [BR],BR202019014777U2,2019-07-17,E06B3/72,E06B3/726 (BR),2021-01-26,2021-01-26,74504673
90,disposição construtiva de cápsula do tipo blister,ALVARO LUIZ VIEIRA DE ABREU [BR],"ALVARO LUIZ VIEIRA DE ABREU [BR] 
AUTHENTIC EVOLUTION COMERCIO ATACADISTA E VAREJISTA DE PEDRAS PRECIOSAS [BR]",BR202019013517U2,2019-06-28,B65D83/04,,2021-01-12,2021-01-12,74502104
91,desidratação osmótica de cubos de mandioca,"ANTONIO GILSON BARBOSA DE LIMA [BR] 
PIERRE CORREA MARTINS [BR] 
THAYZE RODRIGUES BEZERRA PESSOA [BR]",UNIV FEDERAL DE CAMPINA GRANDE PB [BR],BR102019014068A2,2019-07-08,"A23L19/10 
A23L3/3454 
A23L3/42","A23L19/11 (BR) 
A23L3/3454 (BR) 
A23L3/42 (BR)",2021-01-19,2021-01-19,74504353
92,lacre higiênico para bebidas,GILMAR MOREIRA DA SILVA JUNIOR [BR],INTERLUDIUM MINERACAO LTDA EPP [BR],BR202019013774U2,2019-07-03,B65D41/34,,2021-01-12,2021-01-12,74502146
93,formulações de xarope de açúcar demerara invertido para aplicação na indústria alimentícia,CARMEN PATRICIA COELHO NOGUEIRA [BR],CARMEN PATRICIA COELHO NOGUEIRA [BR],BR102019014470A2,2019-07-12,C13K3/00,C13K3/00 (BR),2021-01-19,2021-01-19,74504373
94,métodos para fornecer um produto de protetor solar e produto de protetor solar,"ANGELES FONOLLA-MORENO [BR] 
RENATA SOUTO MAIOR AFONSO FERREIRA [BR] 
TASSIA HANASHIRO [BR]",OREAL [FR],BR112020019983A2,2018-06-29,"A61K8/19 
A61K8/29 
A61Q1/02 
A61Q17/04","A61K8/19 (EP) 
A61K8/29 (EP) 
A61Q1/02 (EP) 
A61Q17/04 (EP) 
A61K2800/622 (EP)",2021-01-26,2020-01-02,62916392
95,disposição construtiva aplicada em conjunto de calçado,FERNANDO TEDESCKI PEREIRA [BR],"FERNANDO TEDESCKI PEREIRA [BR] 
GUILHERME STOLIAR [BR]",BR202019014348U2,2019-07-11,"A43B3/30 
A43B9/00",,2021-01-12,2021-01-12,74502135
96,filtro sustentável de fluxo descendente horizontal de múltiplas camadas paralelas granular para tratamento de esgoto doméstico e de pequenas indústrias,"CECI FELINTO VIEIRA DE FRANÇA [BR] 
DULCEANA RIBEIRO LACERDA [BR] 
JOSÉ MESSIAS RIBEIRO JÚNIOR [BR] 
MÁRIA JÚLIA BATISTA DA SILVA [BR]",JOSE MESSIAS RIBEIRO JUNIOR [BR],BR102019014808A2,2019-07-18,"B01D24/00 
B01D24/10 
B01D25/02 
B01D29/27 
C02F1/00 
C02F1/28 
C02F9/00","B01D24/007 (BR) 
B01D24/10 (BR) 
B01D25/02 (BR) 
C02F1/001 (BR) 
C02F9/00 (BR) 
B01D29/27 (BR) 
C02F1/283 (BR)",2021-01-26,2021-01-26,74504657
97,óleo essencial de thymus vulgaris contra salmonella typhimirium,"ALESSANDRA FARIAS MILLEZI [BR] 
HEWERTON ENES DE OLIVEIRA [BR] 
KARINE DALLA COSTA [BR] 
TACIARA PENNO DO AMARAL [BR] 
VANESSA SCHUH [BR]",INST FEDERAL CATARINENSE [BR],BR102019014038A2,2019-07-05,"A61K36/53 
A61P31/04 
A61K127/00 
A61K133/00 
A61K135/00",,2021-01-19,2021-01-19,74504346
98,chave de boca ajustável,LUIZ ANTONIO AQUINO SILVA GUIOTOKU [BR],LUIZ ANTONIO AQUINO SILVA GUIOTOKU [BR],BR202019014005U2,2019-07-05,B25B7/04,B25B7/04 (BR),2021-01-12,2021-01-12,74502166
99,método e processo de avaliação automática de receptores de tv digital com base em feixes de transporte não conformes,"AGUINALDO DA SILVA [BR] 
ALLAN ROBERTO AMORIM DA SILVA [BR] 
BRUNO CARVALHO DE FARIAS [BR] 
EDDIE BATISTA DE LIMA FILHO [BR] 
ROMULO DE SOUZA FABRICIO JUNIOR [BR] 
RUAN JOSEMBERG SILVA BELEM [BR]",ENVISION IND DE PRODUTOS ELETRONICOS LTDA [BR],BR102019014095A2,2019-07-08,"H04H20/12 
H04N17/00 
H04N17/04 
H04N21/236","H04H20/12 (BR) 
H04N17/004 (BR) 
H04N17/04 (BR) 
H04N21/236 (BR)",2021-01-19,2021-01-19,74504361
100,sistema com válvulas de múltiplas vias para cromatografia gasosa com monitoramento contínuo de ar ambiente e vapores no solo,"BLAYNE HARTMAN [BR] 
CLIFF FRESCURA [BR] 
MARK LEONARD KRAM [BR] 
PAULO CESAR DE MELO NEGRÃO [BR]",CLEAN ENV BRASIL ENGENHARIA E COMERCIO LTDA [BR],BR102019014426A2,2019-07-11,"G01N1/22 
G01N31/00","G01N1/22 (BR) 
G01N31/00 (BR)",2021-01-19,2021-01-19,74504415
101,vidro sodo-cálcico de resíduos do beneficiamento de quartzito e processo de fabricação em baixa temperatura de vitrificação como proposta de disponibilização sustentável deste resíduo,"EDUARDO FERREIRA NEVES [BR] 
GILSON SILVA FILHO [BR] 
HÉLIO GUSTAVO SANTOS [BR] 
ISADORA ANDRADE BASTOS [BR] 
LARA ALTOÉ DARÓS [BR] 
OTONIEL DE AQUINO AZEVEDO [BR] 
RENATO RIBEIRO SIMAN [BR]","FUND DE AMPARO A PESQUISA E INOVACAO DO ESPIRITO SANTO FAPES [BR] 
GILSON SILVA FILHO [BR] 
ISADORA ANDRADE BASTOS [BR] 
LARA ALTOE DAROS [BR] 
OTONIEL DE AQUINO AZEVEDO [BR] 
UNIAO SOCIAL CAMILIANA [BR] 
UNIV FEDERAL DO ESPIRITO SANTO [BR]",BR102019014772A2,2019-07-17,"B09B3/00 
C03C1/00","B09B3/00 (BR) 
C03C1/00 (BR) 
C03C1/002 (BR)",2021-01-26,2021-01-26,74504609
102,"calha paraboloide refletora e concentradora térmica solar direta, indireta e difusa ? semieliptica oval e semivertical tripla, regulável e customizável por local e função - para aquecimentos lentos em caixa-estufa coletora exclusiva de muita água fria ou de fluido térmico circulante para usos em aquecimentos diversos ou gerações elétricas via vapor e/ou refrigerações reversas, locais ou grupais",CLIMACO CEZAR DE SOUZA [BR],CLIMACO CEZAR DE SOUZA [BR],BR102019013050A2,2019-06-24,"F24D5/00 
F24H7/02 
F24S23/70",Y02E10/40 (EP),2021-01-05,2021-01-05,74214927
103,dispositivo de controle de coletor automático de amostras em veículos e processo de controle de coletor automático de amostras,INGRID SAUR [BR],SAUR EQUIPAMENTOS S/A [BR],BR102019013869A2,2019-07-04,"A01D41/127 
G01N1/08 
G01N1/14 
G01N1/20 
G06Q50/02","A01D41/1277 (BR) 
G01N1/08 (BR) 
G01N1/14 (BR) 
G01N1/20 (BR) 
G06Q50/02 (BR)",2021-01-12,2021-01-12,74502062
104,módulo guia de cordões e aplicação em máquina com tracionadora de cordões,SILVANO BAPTISTA DE SOUZA [BR],I S A IND DE TECNOLOGIA E AUTOMACAO LTDA EPP [BR],BR102017002400B1,2017-02-06,A43D119/00,"A43D11/00 (US) 
A43D13/00 (EP) 
A43D15/00 (EP,US) 
A43D21/003 (EP)",2021-01-19,2018-08-09,63039325
105,"equipamento para aplicação de fármacos simultânea à eletroporação durante procedimento de eletroquimioterapia, dispositivo aplicador de fármacos e de eletroporação, método de preparo de dispositivo aplicador e método de cálculo e de ajuste de corrente elétrica para eletroporação",CARLOS HENRIQUE MACIEL BRUNNER [BR],EQT EQUIPAMENTOS E TECNOLOGIA LTDA [BR],BR102019013577A2,2019-06-28,A61N1/32,"A61M5/142 (EP) 
A61M5/16836 (EP) 
A61N1/32 (BR) 
A61N1/327 (EP)",2021-01-05,2020-12-30,72178309
106,método para controle e limitação de parâmetros em máquina de solda e respectivo hardware,GEMIR ANTÔNIO SUSIN [BR],SUMIG SOLUCOES PARA SOLDA E CORTE LTDA [BR],BR102019013849A2,2019-07-04,B23K9/10,,2021-01-12,2021-01-12,74502063
107,aperfeiçoamentos em canudo e em processo de fabricação de canudo,MARCELO ZANCO DIAS [BR],MARCELO ZANCO DIAS [BR],BR102019013027A2,2019-06-24,"A47G21/18 
B29C48/03",A47G21/18 (BR),2021-01-05,2021-01-05,74214921
108,disposição aplicada em lâmpada ultravioleta com tubo espiral impregnado com quartzo,MOACIR DONIZETI DALPOSSO [BR],KELI CRISTINA CECCATO DALPOSSO 19031768839 [BR],BR202019013206U2,2019-06-25,C02F1/32,C02F1/325 (BR),2021-01-05,2021-01-05,74502031
109,garrafa provida de clip,WILLY ADISAKA [BR],WILLY ADISAKA [BR],BR202019013115U2,2019-06-24,"A45F3/16 
A45F5/02","A45F5/021 (BR) 
A45F2200/0583 (BR) 
A45F3/16 (BR)",2021-01-05,2021-01-05,74502053
110,composições farmacêuticas para uso em desordens cardiovasculares a partir do extrato de coco ariri (syagrus cocoides martius),"ADEILTON PEREIRA MACIEL [BR] 
CLAUDIA QUINTINO DA ROCHA [BR] 
CÁRITAS DE JESUS SILVA MENDONÇA [BR] 
RACHEL MELO RIBEIRO [BR] 
THÂMARA DE PAULA REIS SOUSA PIRES [BR]",UNIV FEDERAL DO MARANHAO [BR],BR102019013500A2,2019-06-28,"A61K36/889 
A61P9/12",,2021-01-05,2021-01-05,74501978
111,transportador automático de auxílio a imersão de pacientes em tratamento fisioterapêutico em piscinas fechadas,"ELANE SANTOS SOUZA [BR] 
JOSÉ MÁRIO ARAÚJO [BR]",INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA IFBA [BR],BR202019013240U2,2019-06-26,A61G5/14,A61G5/14 (BR),2021-01-05,2021-01-05,74502054
112,disposição construtiva introduzida em trilho para janelas de locomotivas,FERNANDO LUIS BURCHAUSER TEIXEIRA [BR],FERNANDO LUIS BURCHAUSER TEIXEIRA [BR],BR202019013786U2,2019-07-03,E05D15/06,E05D15/06 (BR),2021-01-12,2021-01-12,74502134
113,uso de fotossensibilizadores no controle fotodinâmico de carrapatos,"CINTHYA MARQUES FORTES FLEURY [BR] 
DENIZE SILVA BRAZIL [BR] 
GUILHERME ROCHA LINO DE SOUZA [BR] 
PABLO JOSÉ GONÇALVES [BR]",UNIV FEDERAL DE GOIAS [BR],BR102019014410A2,2019-07-11,"A01N43/90 
A01P7/04",A01N43/90 (BR),2021-01-19,2021-01-19,74504408
114,disposição construtiva em varal eólico,GELSON BERNARDES [BR],GELSON BERNARDES [BR],BR202019014424U2,2019-07-11,D06F57/04,,2021-01-19,2021-01-19,74504440
115,disposições construtivas em mini filtro portatil para garrafas pet,PEDRO GABRIEL DE QUEIROZ SILVA [BR],"MSB IND E COMERCIO LTDA [BR] 
WRM IND E COMERCIO LTDA [BR]",BR202019014508U2,2019-07-12,B01D35/02,,2021-01-26,2021-01-26,74504670
116,disposição aplicada em gabinete de segurança inteligente para telecomunicação,EDSON DOMINGUES ALVES [BR],METAL ALFA LTDA [BR],BR202019013880U2,2019-07-04,H05K7/14,H05K7/1492 (BR),2021-01-12,2021-01-12,74502121
117,sistema de reaproveitamento de vapores aplicado a motores de combustão interna,"GLEDSTON TERRA DE OLIVEIRA [BR] 
RUBENS HENRIQUE SPLITTER [BR]","GLEDSTON TERRA DE OLIVEIRA [BR] 
RUBENS HENRIQUE SPLITTER [BR]",BR102019014355A2,2019-07-11,"F02G5/00 
F02G5/02",Y02T10/12 (EP),2021-01-19,2021-01-19,74504401
118,"processo e sistema para identificar e determinar o final da fermentação, meio legível por computador","FERNANDO GOMES DA SILVA [BR] 
NADIM ASHRAF [BR] 
NATALIA FAGANELLO FACHINI [BR] 
SERGIO LORETTO IKEDA NORCIA [BR]",RAIZEN ENERGIA S A [BR],BR102019013618A2,2019-06-28,"C12M1/34 
C12P7/06 
G01N25/00","C12M41/12 (BR) 
C12P7/06 (BR) 
G01N25/00 (BR) 
Y02E50/10 (EP)",2021-01-05,2021-01-05,74501985
119,sistema queimador de pellet a base de pirólise com ar secundário preaquecido,"EDILBERTO GROSSEL [BR] 
GERSON SÉRGIO ALVES KLAUMANN [BR] 
NATAN PINTO BITTENCOURT [BR]",KOALA ENERGY LTDA [BR],BR102019014071A2,2019-07-08,"C10B51/00 
F23L1/00 
F23N1/04","Y02E20/34 (EP) 
Y02P20/129 (EP)",2021-01-19,2021-01-19,74504354
120,sistema interativo de comunicação e gestão de relacionamento com o cliente.,ROBERTO CARLOS AMÉRICO DOS REIS JÚNIOR [BR],NEXTPAR PARTICIPACOES E INVESTIMENTOS LTDA [BR],BR102019013113A2,2019-06-24,"G06Q30/00 
G06Q30/02","G06Q30/00 (BR) 
G06Q30/02 (BR)",2021-01-05,2021-01-05,74214935
121,disposição introduzida em chaira,"HAYURI ZACHARKIM KODA [BR] 
YASUO KODA [BR]",YASUO KODA [BR],BR202019013784U2,2019-07-03,B24D15/08,B24D15/081 (BR),2021-01-05,2021-01-05,74502040
122,disposição construtiva aplicada na estrutura da trava eletromagnética,THIAGO ROBERTO MACHADO BRANDÃO [BR],THIAGO ROBERTO MACHADO BRANDAO [BR],BR202019013283U2,2019-06-26,E05B47/00,E05B47/00 (BR),2021-01-05,2021-01-05,74502020
123,disposição construtiva em placa de sinalização com sistema antiquebra,"ARTHUR CECCHIN [BR] 
MAURICIO SIRTOLI [BR]","ARTHUR CECCHIN [BR] 
MAURICIO SIRTOLI [BR]",BR202019013353U2,2019-06-27,G09F15/00,,2021-01-05,2021-01-05,74502050
124,aperfeiçoamento introduzido em elemento cicatrizador odontológico,DALTON MATOS RODRIGUES [BR],DALTON MATOS RODRIGUES [BR],BR102019013734A2,2019-07-02,A61C8/00,A61C8/008 (BR),2021-01-05,2021-01-05,74501994
125,"escudo protetor para procedimentos de saúde, com sistema de deslocamento radial, e troca de ar","JOSE JEOVA SIEBRA MOREIRA NETO [BR] 
MOACIR TAVARES MARTINS FILHO [BR] 
RENATO LUIZ MAIA NOGUEIRA [BR] 
RICARDO TEIXEIRA ABREU [BR]","JOSE JEOVA SIEBRA MOREIRA NETO [BR] 
MOACIR TAVARES MARTINS FILHO [BR] 
RENATO LUIZ MAIA NOGUEIRA [BR] 
RICARDO TEIXEIRA ABREU [BR]",BR102020013254A2,2020-06-27,"A61B17/02 
A61B17/34 
A61B90/40","A61B17/02 (BR) 
A61B17/34 (BR) 
A61B90/40 (BR)",2021-01-05,2021-01-05,74502007
126,butilacetilaminopropionato de etila encapsulado em nanoemulsões para uso como repelente tópico,"CAROLINE DE GOES SAMPAIO [BR] 
EMÍLIA MARIA ALVES SANTOS [BR] 
JÚLIO CÉSAR RABELO MESQUITA FILHO [BR] 
LOUHANA MOREIRA REBOUÇAS [BR] 
MARIA DO SOCORRO PINHEIRO DA SILVA [BR] 
NÁGILA MARIA PONTES SILVA RICARDO [BR] 
THIAGO MOREIRA MELO [BR]","INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO CEARA [BR] 
UNIV FEDERAL CEARA [BR]",BR102019013793A2,2019-07-03,"A61K8/37 
A61K8/92 
A61Q17/02","A61K8/375 (BR) 
A61K8/922 (BR) 
A61Q17/02 (BR)",2021-01-12,2021-01-12,74502079
127,dispositivo de embalagem para vidros planos,ANDRE ALEXANDRE VIEIRA DOS SANTOS [BR],ANDRE ALEXANDRE VIEIRA DOS SANTOS [BR],BR102019014150A2,2019-07-08,"B65D81/02 
B65D81/133","B65D81/022 (BR) 
B65D81/133 (BR)",2021-01-19,2021-01-19,74504344
128,processo de produção de ácidos húmicos ativados por ácidos orgânicos para uso agrícola,"CARLOS ALBERTO SILVA [BR] 
EVERTON GERALDO DE MORAIS [BR] 
HENRIQUE JOSÉ GUIMARÃES MOREIRA MALUF [BR]","FUND DE AMPARO A PESQUISA DE MINAS GERAIS [BR] 
UNIV FEDERAL LAVRAS [BR]",BR102019014279A2,2019-07-10,"C05F11/02 
C07G1/00","C05F11/02 (BR) 
C07G1/00 (BR)",2021-01-19,2021-01-19,74504382
129,dispositivo e sistema energizador de para-raios com a técnica de linha viva,"LUIS ANTONIO GONZALEZ IGLESIAS [BR] 
ROBERTO ROQUELANE PEREIRA MENDES [BR]",LUIS ANTONIO GONZALEZ IGLESIAS [BR],BR102019013775A2,2019-07-03,"H01H21/22 
H01H21/56",,2021-01-12,2021-01-12,74502068
130,equipamento eletrônico para geolocalização de interrupções e para cálculo de indicadores de continuidade em redes secundárias de distribuição de energia elétrica,"DYENNY SOUZA ALBUQUERQUE [BR] 
RODRIGO JOSÉ ALBUQUERQUE FRAZÃO [BR]","DYENNY SOUZA ALBUQUERQUE [BR] 
RODRIGO JOSE ALBUQUERQUE FRAZAO [BR]",BR102019013949A2,2019-07-04,G01S19/48,,2021-01-12,2021-01-12,74502090
131,máquina de remover gordura do peito e partes de aves,RAFAEL FRARAO KLEIN [BR],TC PECAS E EQUIPAMENTOS PARA AGROINDUSTRIA LTDA ME [BR],BR102019013769A2,2019-07-03,A22C21/00,A22C21/00 (BR),2021-01-12,2021-01-12,74502067
132,sistema anti-incrustação.,"ADRIANA DE ANDRADE NACENTES DA SILVA [BR] 
ANDREA KARLA PEREIRA DA SILVA [BR] 
BRUNO MACIEL DO NASCIMENTO [BR] 
MÚCIO LUIZ BANJA FERNANDES [BR] 
RENATA LARANJEIRAS GOUVEIA [BR] 
VALDEMIR ALEXANDRE DOS SANTOS [BR]","INST AVANCADO DE TECNOLOGIA E INOVACAO IATI [BR] 
TERMOPERNAMBUCO S/A [BR]",BR102019013736A2,2019-07-02,"B06B1/02 
B08B7/02 
B63B59/04",,2021-01-12,2021-01-12,74502099
133,rodo,WIRGYNNEA DA SILVA CUSTODIO [BR],WIRGYNNEA DA SILVA CUSTODIO [BR],BR202019014088U2,2019-07-08,A47L13/11,,2021-01-12,2021-01-12,74502164
134,produção de proteína a partir do processamento das macrófitas aquáticas flutuantes,MARCUS CEZAR DE SOUZA FONSECA [BR],MARCUS CEZAR DE SOUZA FONSECA [BR],BR102019014687A2,2019-07-16,"A23J1/14 
A23J3/14","A23J1/14 (EP) 
A23J3/14 (EP) 
A23K10/30 (EP) 
A23K20/147 (EP) 
Y02P60/87 (EP)",2021-01-26,2021-01-21,74209610
135,disposição aplicada em churrasqueira com sistema de elevação da grelha,PAULO ANTONIO GAMBARINI [BR],METALURGICA PASTANA & GAMBARINI LTDA EPP [BR],BR202019014803U2,2019-07-18,A47J37/07,A47J37/07 (BR),2021-01-26,2021-01-26,74504679
136,composições farmacêuticas antiparasitárias contendo curcuminóides modificados e uso,"AMANDA VICENTE MARQUES [BR] 
DARLENE CORREIA FLORES [BR] 
RAQUEL MARTINS DE ALMEIDA [BR] 
RICARDO TOSHIO FUJIWARA [BR] 
SEBASTIÃO RODRIGO FERREIRA [BR] 
VÂNIA RODRIGUES DE LIMA [BR]","UNIV FEDERAL DO RIO GRANDE FURG [BR] 
UNIV FEDERAL DO SUL DA BAHIA UFSB [BR] 
UNIV MINAS GERAIS [BR]",BR102019014509A2,2019-07-12,"A61K31/45 
A61P33/02","A61K31/45 (BR) 
A61P33/02 (BR)",2021-01-26,2021-01-26,74504604
137,disposição construtiva em equipamento dotado por disco descascador de nozes e frutos com casca dura,CARLOS PINTO DORNELES [BR],CARLOS PINTO DORNELES [BR],BR202019013664U2,2019-07-01,A23N5/00,"A23N5/004 (BR) 
A23N5/002 (BR) 
A23N5/008 (BR)",2021-01-12,2021-01-12,74502132
138,disposição introduzida em acumulador e organizador de fardos de feno,SABRINA GROOT [BR],SABRINA GROOT [BR],BR202019014473U2,2019-07-12,"A01D85/00 
A01D90/10","A01D85/005 (BR) 
A01D90/10 (BR)",2021-01-19,2021-01-19,74504444
139,"dispositivo modular, sistema e método para monitoramento de campos magnéticos de alta intensidade próximos a medidores de consumo","CESAR JORGE BANDIM [BR] 
DANIEL FERRER BERQUÓ [BR] 
JOSÉ EDUARDO DA ROCHA ALVES JÚNIOR [BR] 
LUIZ CARLOS GRILLO DE BRITO [BR] 
LUIZ FERNANDO PEREIRA BARROS [BR]",CENTRO DE PESQUISAS DE ENERGIA ELETRICA CEPEL [BR],BR102019013232A2,2019-06-26,G01R33/02,,2021-01-05,2021-01-05,74222095
140,"etiqueta associável ao pelo de animais, órtese biomimética e processo de fabricação de dispositivo","CARLOS FREDERICO DE CARVALHO RODRIGUES [BR] 
DIEGO MESSIAS LERA [BR] 
SILVIO TAVARES [BR]",AGENCIA PAULISTA DE TECNOLOGIA DOS AGRONEGOCIOS [BR],BR102019013213A2,2019-06-25,A01K11/00,A01K11/00 (BR),2021-01-05,2021-01-05,74214947
141,hidroponia móvel piramidal,"ALEXSANDRO OLIVEIRA DA SILVA [BR] 
DANIEL ALBIERO [BR] 
JENYFFER DA SILVA GOMES SANTOS [BR]",UNIV FEDERAL CEARA [BR],BR102019013246A2,2019-06-26,A01G31/00,,2021-01-05,2021-01-05,74235920
142,composição lipídica sólida para produção de carreador lipidico nanoestruturado,"BIANCA OLIVEIRA LOUCHARD [BR] 
NÁGILA MARIA PONTES SILVA RICARDO [BR] 
TAMARA GONÇALVES DE ARAÚJO [BR]",UNIV FEDERAL CEARA [BR],BR102019013856A2,2019-07-04,"A61K8/37 
A61K8/92 
A61Q19/00 
A61Q5/00","A61K8/37 (BR) 
A61K8/922 (BR) 
A61K8/925 (BR) 
A61Q19/00 (BR) 
A61Q5/00 (BR)",2021-01-12,2021-01-12,74502066
